LongNonCodingRnaIdentifier,AdenineRatio,ThymineRatio,CytosineRatio,GuanineRatio,GuanineCytosineContent,LowComplexityRegionRatio,DinucleotideAA,DinucleotideAT,DinucleotideAC,DinucleotideAG,DinucleotideTA,DinucleotideTT,DinucleotideTC,DinucleotideTG,DinucleotideCA,DinucleotideCT,DinucleotideCC,DinucleotideCG,DinucleotideGA,DinucleotideGT,DinucleotideGC,DinucleotideGG,SampleLabel
ENST00000831517.1|ENSG00000310526.1|-|-|WASH7P-326|WASH7P|1545|,0.2168,0.1625,0.3236,0.2971,0.6207,1.0,0.0317,0.0278,0.0602,0.092,0.0162,0.0233,0.0479,0.0732,0.0907,0.0777,0.0913,0.033,0.0738,0.0317,0.0926,0.0758,0
ENST00000831210.1|ENSG00000310526.1|-|-|WASH7P-221|WASH7P|1876|,0.2201,0.1604,0.3113,0.3081,0.6194,1.0,0.0336,0.0272,0.0533,0.1024,0.0149,0.0235,0.048,0.072,0.0923,0.0725,0.0859,0.0331,0.0757,0.0352,0.0965,0.0773,0
ENST00000831217.1|ENSG00000310526.1|-|-|WASH7P-223|WASH7P|1446|,0.2199,0.1528,0.323,0.3043,0.6272,1.0,0.0367,0.0235,0.0567,0.099,0.0118,0.0242,0.0498,0.0657,0.0927,0.0734,0.09,0.0401,0.0747,0.0304,0.0997,0.0768,0
ENST00000831158.1|ENSG00000310526.1|-|-|WASH7P-208|WASH7P|1877|,0.2136,0.17,0.3207,0.2957,0.6164,1.0,0.0346,0.0224,0.0554,0.0965,0.0149,0.0245,0.0538,0.073,0.0906,0.0805,0.0858,0.033,0.0688,0.0394,0.0949,0.0709,0
ENST00000831707.1|ENSG00000310526.1|-|-|WASH7P-460|WASH7P|853|,0.2063,0.1688,0.3306,0.2943,0.6249,1.0,0.0258,0.0282,0.0646,0.0822,0.0141,0.027,0.0505,0.0763,0.0857,0.0833,0.0962,0.0376,0.0751,0.0293,0.0915,0.0763,0
ENST00000831701.1|ENSG00000310526.1|-|-|WASH7P-454|WASH7P|1417|,0.2202,0.1553,0.3275,0.2971,0.6246,1.0,0.0325,0.0282,0.0565,0.0989,0.0134,0.0219,0.0508,0.0685,0.0975,0.0727,0.0939,0.0346,0.0734,0.0318,0.0975,0.0756,0
ENST00000831357.1|ENSG00000310526.1|-|-|WASH7P-276|WASH7P|1748|,0.2203,0.159,0.3169,0.3038,0.6207,1.0,0.0343,0.0263,0.0544,0.1013,0.0132,0.0235,0.0487,0.0721,0.0922,0.0738,0.0882,0.0349,0.0773,0.0338,0.0973,0.0744,0
ENST00000831157.1|ENSG00000310526.1|-|-|WASH7P-207|WASH7P|1518|,0.222,0.1627,0.3162,0.2991,0.6153,1.0,0.0376,0.025,0.0587,0.0949,0.0145,0.0244,0.0481,0.0732,0.0897,0.0765,0.0857,0.0363,0.0751,0.0343,0.0956,0.0719,0
ENST00000832832.1|ENSG00000290825.2|-|-|DDX11L16-268|DDX11L16|1275|,0.2063,0.2369,0.3067,0.2502,0.5569,1.0,0.0322,0.0377,0.0495,0.0769,0.0228,0.0447,0.0691,0.0895,0.0808,0.0965,0.0856,0.0149,0.0604,0.0471,0.0738,0.0534,0
ENST00000832834.1|ENSG00000290825.2|-|-|DDX11L16-270|DDX11L16|1250|,0.2064,0.2368,0.3088,0.248,0.5568,1.0,0.0328,0.0384,0.0504,0.0753,0.0232,0.0448,0.0705,0.0873,0.0809,0.0985,0.0857,0.0152,0.06,0.044,0.0737,0.0544,0
